danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,track_name,artist
0.892,0.714,-6.055,0.141,0.000234,0.817,100.972,0.201,Rock Your Body,Justin Timberlake
0.608,0.86,-5.324,0.0554,0.0,0.437,127.075,0.0991,Wild Ones (feat. Sia),Flo Rida
0.769,0.684,-5.019,0.0411,0.000125,0.835,127.972,0.0105,S&M,Rihanna
0.632,0.856,-3.463,0.0348,0.0,0.867,119.397,0.0624,Dancing in the Moonlight,Toploader
0.694,0.712,-3.923,0.046,0.0,0.799,98.023,0.132,Lush Life,Zara Larsson
0.798,0.675,-5.041,0.0442,0.0,0.842,101.956,0.0912,I Don't Care (with Justin Bieber),Ed Sheeran
0.652,0.877,-2.986,0.0465,0.0,0.486,118.491,0.0227,Best Song Ever,One Direction
0.699,0.529,-7.548,0.0487,3.59e-05,0.121,119.987,0.0317,Shower,Becky G
0.636,0.815,-5.098,0.0581,0.0,0.636,123.063,0.0185,Sugar (feat. Francesco Yates),Robin Schulz
0.7,0.709,-5.006,0.0838,0.0,0.624,122.019,0.0048,Raise Your Glass,P!nk
0.673,0.735,-4.733,0.0457,0.0,0.754,115.744,0.286,Shotgun,George Ezra
0.677,0.744,-6.806,0.0295,0.00016,0.631,124.08,0.0404,Piece Of Your Heart,MEDUZA
0.734,0.766,-4.485,0.0383,0.00138,0.6,127.986,0.025,We Found Love,Rihanna
0.792,0.717,-4.759,0.0393,3.59e-05,0.466,121.985,0.0927,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs
0.706,0.89,-4.444,0.0688,0.00286,0.684,128.011,0.0588,Good Feeling,Flo Rida
0.61,0.83,-4.105,0.0571,0.0,0.728,182.162,0.033,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift
0.672,0.82,-4.456,0.0459,0.000188,0.438,120.005,0.0368,Forever,Chris Brown
0.622,0.807,-6.752,0.408,0.0,0.892,174.06,0.103,Mambo No. 5 (a Little Bit of...),Lou Bega
0.534,0.87,-3.078,0.0425,0.0,0.462,126.019,0.000334,So What,P!nk
0.851,0.806,-4.62,0.0787,1.64e-06,0.787,118.999,0.118,Poker Face,Lady Gaga
0.688,0.702,-4.792,0.0499,0.0,0.74,94.006,0.0215,My House,Flo Rida
0.791,0.754,-3.729,0.0569,0.0,0.425,125.014,0.00446,California Gurls,Katy Perry
